a 啊
aba 阿爸
aerbeisi 阿尔卑斯
afei 阿飞
aha 啊哈
ahaha 啊哈哈
ai 唉 爱 哎
ai1 哀 哎 唉 埃 挨 捱 锿
ai2 挨 捱 癌 皑
ai3 嗳 矮 蔼 霭
ai4 嗌 嗳 嫒 暧 爱 瑷 砹 碍 艾 隘
aia 爱啊
aiai 爱爱
aiaifumu 哀哀父母
aibingbisheng 哀兵必胜
aiboerqingbuzhuan 爱博而情不专
aibuaiwo 爱不爱我
aiburenshi 爱不忍释
aibushishou 爱不释手
aicairuke 爱才如渴
aicairuming 爱财如命
aicairuoke 爱才若渴
aida 挨打
aide 爱的
aierbushang 哀而不伤
aifengjifeng 挨风缉缝
aigantiandi 哀感天地
aiganwanyan 哀感顽艳
aiganzhongnian 哀感中年
aigaobinfu 哀告宾服
aige 挨个
aiguo 爱国
aiguorujia 爱国如家
aiguowo 爱过我
aiguozhe 爱国者
aihao 爱好
aihaozhe 爱好者
aiheshizhong 爱鹤失众
aihongbianye 哀鸿遍野
aihu 爱护
aihuiguli 哀毁骨立
aijiaaihu 挨家挨户
aijianbingzu 挨肩并足
aijiancabang 挨肩擦膀
aijiancabei 挨肩擦背
aijiancalian 挨肩擦脸
aijiandabei 挨肩搭背
aikoushixiu 碍口识羞
ailai 爱来
ailicunyang 爱礼存羊
ailisi 爱丽丝
ailizhengshi 哀梨蒸食
aimei 暧昧
aimeibuming 暧昧不明
aimeizhiqing 暧昧之情
aimenzhuhu 挨门逐户
aiminruzi 爱民如子
aimodayuxinsi 哀莫大于心死
aimonengzhu 爱莫能助
aini 爱你
aipai 爱拍
aipi 挨批
aiqianruming 爱钱如命
aiqing 爱情
aiqingde 爱情的
aiqubuqu 爱去不去
airankeqin 蔼然可亲
airanrenzhe 蔼然仁者
airen 爱人
airenhaoshi 爱人好士
airenkanchang 矮人看场
airenliwu 爱人利物
airenyide 爱人以德
airixili 爱日惜力
airujichu 爱如己出
airuzhenbao 爱如珍宝
aisandingwu 挨三顶五
aishang 爱上
aishansehai 挨山塞海
aishengtanqi 唉声叹气
aishi 碍事
aishouaijiao 碍手碍脚
aisihaozhu 哀丝豪竹
aisuhaogu 爱素好古
aitianjiaodi 哀天叫地
aitongyujue 哀痛欲绝
aiwo 爱我
aiwujiwu 爱屋及乌
aixi 爱惜
aixin 爱心
aixiyumao 爱惜羽毛
aiya 哎呀
aiyan 碍眼
aiyaya 哎呀呀
aiyi 爱意
aiyinsitan 爱因斯坦
aiyo 哎哟
aiyongbuyong 爱用不用
aiyongsha 爱用啥
aizaishenqiu 爱在深秋
aizengfenming 爱憎分明
aizhe 挨着
aizheng 癌症
aizhiyuqisheng 爱之欲其生，恶之欲其死
aizikanxi 矮子看戏
an 按 俺 安
an1 安 庵 桉 氨 谙 鞍 鹌
an3 俺 埯 揞 铵
an4 岸 按 暗 案 犴 胺 黯
anan 暗暗
ananjingjing 安安静静
anannamen 暗暗纳闷
ananwenwen 安安稳稳
anbangdingguo 安邦定国
anbangzhiguo 安邦治国
anbian 岸边
anbingbudong 按兵不动
anbudangche 安步当车
anbujiuban 按部就班
anbuwangwei 安不忘危
anchangchushun 安常处顺
anchangshougu 安常守故
anchepulun 安车蒲轮
ancuo 按错
andanwuguang 暗淡无光
andao 按到
andian 按点
anding 安定
anduchencang 暗度陈仓
andulaoxing 案牍劳形
anduleye 安堵乐业
andurugu 安堵如故
anfenshouji 安分守己
anfenzhizu 安分知足
anfou 安否
anfuxupin 安富恤贫
anfuzunrong 安富尊荣
angcangqichi 昂藏七尺
ange 安格
anggui 昂贵
angranzide 昂然自得
angshoukuobu 昂首阔步
angshoushenmei 昂首伸眉
angshoutianwai 昂首天外
angshoutingxiong 昂首挺胸
angshouwangtian 昂首望天
angyuxiangji 盎盂相击
angyuxiangqiao 盎盂相敲
anhundingpo 安魂定魄
anjialiye 安家立业
anjialuohu 安家落户
anjian 按键 安检 案件
anjiannanfang 暗箭难防
anjianrenyuan 安检人员
anjianshangren 暗箭伤人
anjiaqinbing 按甲寝兵
anjiaxiubing 按甲休兵
anjie 按揭
anjing 安静
anjisuan 氨基酸
anjuleye 安居乐业
anlaohuaishao 安老怀少
anle 安了
anlewo 安乐窝
